Question,Category,
"පහත ඇති කවියෙහි හිස්තැන්න්වලට ගැළපෙන වචන පිළිවෙළින් ඇතුළත් පිළිතුර තෝරන්න.
රන්වන් අත්තටු දිළිසෙනවා
එහෙ මෙහෙ පාවෙනවා
මල්වල වහලා බොනවා
යැයි පවසනවා
(1) අහසේ මී මැස්සකු
(2) සුළගේ රොන් සරුංගලේ
(3 ) සුළගේ සමනළයකු",Sinhala language comprehension,112
" රුවන්ගේ මවගේ සහෝදරයාගේ දියණිය රුවිනි නම්, රූවන් යනු රුවිනිගේ.
 (1) පියාගේ සහෝදරියකගේ පුතා වේ.
(2 ) පියාගේසහෝදරයකුගේ පුතා වේ. 
(3) මවගේ සහෝදරයකුගේ පුතා වේ.",Common knowledge and logic reasoning,
" භාජනයක රතු බෝල 10 ක් ද කහ බෝල 8 ක් ද සුදු බෝල 6 ක් ද ඇත. වරකට රතු බෝල 2 ක් කපා බෝල 1 ක් සහ 
සුදු බෝල 1 ක් බැගින් ඉවතට ගනු ලැබේ. එසේ බෝල ඉවතට ගත හැකි වාර ගණන අවසන් වූ විට, භාජනයේ ඉතිරි වන
මුළු බෝල සංඛ්‍යාව කීය 
(1) 2 
(2) 4 
(3) 6",Mathematics,
"එකිනෙකට සෑම අතින් ම සමාන පරිගණක 6 ක් පාසල් දෙකක් අතර බෙදාදීමට අවශ්‍ය වේ. එක් එක් පාසලට ලැබිය 
හැකි පරිගණක ගණන විවිධ විය හැකිය. එක් එක් පාසලට එක් පරිගණකයක්වත් ලැබෙන පරිදි එම පරිගණක හයම 
බෙදා දිය හැකි වෙනස් ආකාර කීයක් තිබේ ද? 
(1) 5 
(2) 6 
(3) 7",Mathematics,
" අමර ඉපදුනේ එක්තරා වර්ෂයක ජනවාරි මාසයේ අවසාන ඉරිදා ය. සාමා ඉපදුනේ එම වර්ෂයේම පෙබරවාරි මාසයේ
 මුල්ම ඉරිදා ය.මෙම දින දෙකෙහි එකතුව 38 කි. අමරගේ උපන්දිනය ජනවාරි මාසයේ,
(1) 29 දින වේ. 
(2) 30 දින වේ. 
(3) 31 දින වේ.",Mathematics,
" නිමාලි නිමල්ට වඩා අවුරුදු දෙකහමාරක් බාල ය. නිමල් ඉපදුනේ 2005 වර්ෂයේදී ය.ය. නිමාලි ඉපදුනේ.
(1) නිසැකවම 2007 වර්ෂයේදී විය යුතුය.
(2) නිසැතවම 2008 වර්ෂයේදී විය යුතු ය.
(3) 2007 හෝ 2008 යන වර්ෂ දෙකින් එකක ය.",Common knowledge and logic reasoning,
" “කමල්ගේ එකම සහෝදරයා විමල් ය. අමාලි යනු කමල්ගේසහෝදරියකි. අමාලිගේ එකම සහෝදරිය
හිමාලි ය."" ඒ අනුව හිමාලිට සිටින සහෝදරයින් ගණනත් සහෝදරියන් ගණනත් පිළිවෙළින්,
(1) 2 සහ 2 වේ. 
(2) 1 සහ 2 වේ. 
(3) 2 සහ 1 වේ.",Common knowledge and logic reasoning,
" සමතලා බිමක ඇඳ ඇති සමචතුරස්‍රයක ශීර්ෂ වල A. B, C, D හතරදෙනා සිටගෙන සිටින්නේ A ට
උතුරින් B ද, B ට බටහිරින් C ද, C ට දකුණින් D ද වන පරිදි ය. A සිටින්නේ පිළිවෙළින් C ටත් D ටත්
කවර දිශාවලින් ද?
(1) ගිනිකොන, නැගෙනහිර 
(2) ගිනිකොන, බටහිර 
(3) වයඹ, නැගෙනහිර",Mathematics,
 හොඳින් හිරු පායා ඇති උදෑසනක ශිෂ්‍යයෙක් සමතලා බිමක ඇඳ ඇති වෘත්තාකාර ධාවන පථයක සම්පූර්ණ වට දෙකක් ඇවිදියි. එම ගමනේදී ශිෂ්‍යයාගේ සෙවනැල්ල ඔහුගේ වම අතපැත්තේ සිට දකුණඅත පැත්තට කී වරක් මාරුවෙයි ද?,Common knowledge and logic reasoning,
"20. පහත දී ඇති තොරතුරු සලකන්න.
සුදු පාට බල්බය ඇවේ නම් කහ පාට බබය දදැවේ. රතු පාට බල්බය දැල්වේ නම් සුදු පාට බල්බය නොදැවේ. • රතු පාට බල්බය නොදැල්වේ නම් නිල් පාට බබය දැවේ.
ඒ අනුව එකවර දැල්විය හැකි බල්බ තුත වන්නේ.
(1) සුදු, කහ සහ රතු. 
(2) සුදු, කහ සහ නිල්ය. 
(3) සුදු, රතු සහ නිල්ය.",Common knowledge and logic reasoning,
"වෘත්තාකාර ධාවන පථයක ඇතුළත සීමාවේ දිග මීටර 200 කි. මීටර 10න් 10 ට සලකුණු කිරීම සඳහා
මුලින්ම කහ පාට කොඩියක් ද, දෙවනුව දම් පාට කොඩියක් ද,තුන්වෙනුව සුදු පාට කොඩියක් ද ආදී වශයෙන් වන පරිදි මෙම පාට තුනෙන් කොඩි සිටුවන ලදී. මේ පිළිවෙළට සලකුණු කිරීම අවසන් වූ විට සමාන කොඩි ගණනක්ඇත්තේ කවර ඒවා ද?
(1) කහ පාට සහ දම් පාට 
(2) දම් පාට සහ සුදු පාට 
(3) සුදු පාට සහ කහ පාට",Mathematics,
" ඔරලෝසුවක වේලාව 1.00. 2.00. 3.00, ... ආදී වශයෙන් වන විට පිළිවෙළින් එක්වරක්, දෙවරක් තුන්වරක්, ... ආදී වශයෙන් නාද වෙයි. ඒ අතරතුර 30 වන මිනිත්තුවේදී එක්වරක් බැගින් ද නාද වෙයි. සෙනසුරාදා පෙරවරුවේ රවිඳු පාඩම් කරමින් සිටි කාලය තුළ ඔරලෝසුව 24 වරක් නාදවනු ඔහුට ඇසුණි. ඔහු පාඩම් කිරීම අවසන් කළේ පෙ.ව. 11.45 ට නම් පාඩම් කිරිම ආරම්භ කළේ කීයට විය හැකි ද?
(1) පෙ.ව. 9.15
(2) පෙ.ව. 9.45
(3) පෙ.ව. 10.15",Mathematics,
" පහත සඳහන් සිදුවීම් සලක.
a - ඊයේ මා නින්දට යන විට මධ්‍යම රාත්‍රිය පසු වී තිබුණි. 
b - විවේක කාලයෙන් පසු ගණිත පරික්ෂණයකුත් තිබුණි.
c - මගේ ක්‍රීඩා ඇඳුම ගෙනැවිත් නැති බව පෙනුණේ ඒ අවස්ථාවේදී ය. 
d - ප්‍රමාද වී අවදි වූ මා පාසලට ගියේ කලබලයෙනි.
 e - පාසල අවසන් වූ විට මගේ යහළුවා සමග ක්‍රීඩා පුහුණුවට ගියෙමි.
 එම සිදුවීම්වල නිවැරදි අනු පිළිවෙළ කුමක් ද? 
(1) a, d, b, e,c 
(2) a, d, c, b, e
",Common knowledge and logic reasoning,
" පතුල සමවතුරස්‍රාකාර පෙට්ටියක ඇතුළත අයින දිගේ කිරිපිටි ටින් 16 ක් පියන උඩු අතට සිටින සේ ටින් එකිනෙතට කීයක් එමයාව ආකාරයට අසුරා ඇත. එම පෙට්ටියේ මැද කොටසේ උපරිම වශයෙන් තවත් එවැනි ම තිරි8 ම ඇසිරිය හැකි ද?
(1) 8
(2) 9 
(3) 12",Mathematics,
"සීමා තුළ පිහිටා ඇත. එහි විශාලත්වය වර්ග කිලෝමීටර 88.64 ත් පමණ වන බව ගණන් බලා ඇත. එය දුර්ලභ ගස්වැල් රාශියකටත් වන සතුත් ගණතාවකටත් නිබිම වී ඇත. යුනෙස්කෝ ආයතනය විසින් මෙය ලෝක උරුමයක් වශයෙන් නම් කර ඇත. මෙම ඡේදයට අනුව වඩාත් නිවැරදි ප්‍රකාශය කුමක් ද? 
(1) යුනෙස්කෝ ආයතනය විසින් සිංහරාජ වනාන්තරයේ විශාලත්වය වර්ග කිලෝමීටර 88.64ක් බව ප්‍රකාශ කර ඇත.
(2) මෙහි වාසය කළ සිංහරාජයකු නිසා සිංහරාජ වනාන්තරයට එම නම ලැබුණු බව විශ්වාස කෙරේ.
(3 ) සිංහරාජ වනාන්තරයේ කොටසක් සබරගමුව පළාතටත් කොටසක් දකුණු පළාතටත් අයත් වේ.",Sinhala language comprehension,
"බල්ලා මාංශ භක්ෂකයෙකි. නිමල්ගේ සුරතලා ද මාංශ භක්ෂකයෙකි."" ඒ අනුව නිමල්ගේ සුරතලා පිළිබඳව එළඹිය හැකි හොඳම නිගමනය කුමක් ද?
(1) නිසැකවම බල්ලෙක් වේ.
(2) බල්ලකු වීමට හෝ නොවීමට හෝ පුළුවන.
(3) බල්ලෙක් නොවේ, එහෙත් මාංශ භක්ෂකයෙක් වේ.",Common knowledge and logic reasoning,
" සවීනිගේ ගවුමෙහි පෘට නිවැරදි ව තීරණය කිරීමට අවශ්‍යවන ප්‍රකාශ දෙක මොනවා ද?
A - කමනිගේ ගවුම රතු පාට ය.
B - රුවනිගේ ගවුම සචිනිගේ ගවුමට වඩා ළා පාට ය.
C - රුවනිගේ ගවුම කමනිගේ ගවුමට වඩා ළා පාට ය.
D - කමනිගේ ගවුමේ පාට සචිනිගේ ගවුමේ පාටට සමානය.
(1) A සහ D 
(2) B සහ C 
(3) Bසහ D",Common knowledge and logic reasoning,
"A, B, C ලෙස නම් කරන ලද ඔරලෝසු තුනක, එකම දිනක අවස්ථා දෙකකදී දැක්වුණු වේලාව වගුවෙහි
දී ඇත.
ඔරලෝසුව A B C
පළමුවන අවස්ථාවේදැක්වුණු වේලාව පෙ.ව. 6.00 පෙ.ව. 6.05 පෙ.ව. 6.10
|දෙවන අවස්ථාවේ දැක්වුණු වේලාව පෙ.වි. 9.00 පෙ.ව. 9.05 පෙ.ව. 9.15
මේ අනුව වඩාත් නිවැරදි නිගමනය කුමක් ද?
(1) එක් ඔරලෝසුවක් පමණක් නිවැරදි වේලාවදක්වයි.
(2) එක් ඔරලෝසුවක පමණක් ක්‍රියාකාරිත්වය දෝෂ සහිත වේ.
(3) අඩු තරමින් ඔරලෝසු දෙකක්වත් වැරදි වේලාව දක්වයි.",Common knowledge and logic reasoning,
"පහත දැක්වෙන ඡේදය කියවන්න.
සඳුදා පැවති පාසලේ උදෑසන රැස්වීමේ, සිසු දක්ෂතා ඉදිරිපත් කිරීමේ අවස්ථාව ඇරඹුණි. පස්වැනි ශ්‍රේණියේ ශිෂ්‍යාවක වූ නිමාලි පළමුවෙන් ම ඉදිරිපත් වූ අතර ඇය ‘දින චර්යාව’ මාතෘකාව
කර ගනිමින් තම අදහස් ඉදිරිපත් කළා ය. කාලසටහනකට අනුව වැඩ කිරීමේ වැදගත්කම පන්තිහාර
ගුරුතුමිය කියා දුන් බවත් තමා ද කාලසටහනකට අනුව වැඩ කරන බවත් නිමාලි පැවසුවා ය. ඒ අනුව
තමා උදෑසන ම අවදි වී නිවසේ වැඩකටයුතුවලට උදවු වීම හා සවස් කාලයේ දී ගෙවතේවැඩවලට
උදවු වීම අමතක නොකර සිදුකරන බව ද පැවසී ය. කතාව නිම කරමින් ඇය තම ගෙවක්ත නැරඹීමට
එන ලෙස ද ආරාධනා කළා ය. පන්තිභාර ගුරුතුමිය නිමාලිගේ කතාව අගය කරමින් කියා සිටියේ
නිමාලි දිනපතා පාසලට පැමිණෙන සහ පාසලේ කටයුතු අතපසු නොකරන ශිෂ්‍යාවක බවයි.
ජේදය ඇසුරෙන් පිළිතූරු සපයන්න.
(i) පාසලේ උදෑසන රැස්වීම පැවති දවස කුමක් ද?
(ii) නිමාලි ඇගේ කතාව සඳහා මාතෘකාව කරගත්තේ කුමක් ද?
(iii) නිමාලිගේ කතාවේ ඇතුළත් ඇය විසින් දිනපතා සවස් කාලයේ කරන කාර්යය කුමක් ද?
(iv) කතාව අවසානයේ දී නිමාලි විසින් කරන ලද ඉල්ලීම කුමක් ද?
(v) නිමාලි ඉදිරිපත් කළ මාතෘකාවට උදවු වූයේ ගුරුතුමිය කියා දුන් කු‍්‍රමන කරුණක් ද?
(vi) පන්තිහාර ගුරුතුමිය නිමාලිගේ කතාව අගය කරමින් පැවසුවේ කුමක් ",Sinhala language comprehension,
"
පහත සඳහන් එක් එක් වගන්තියෙහි උක්තආඛ්‍යාත සම්බන්ධය නිවැරදි නම් ‘√’ ලකුණ ද
වැරදි නම් ‘x’ ලකුණ ද ඉදිරියේ ඇති වරහන තුළ යොදන්න.
(1) කුඹුරට බැසගත් ගොව්යෝ කඩිසරව වැඩ කරති.
(2) කමල් වේදිකා නාට්‍යයක් නරඹයි.(.........)
(3) ගිරවා කෑගසමින් කැලෑවට පියාඹති. (.........)
(4) තද වර්ෂාවට පාලම කඩා වැටුණේ ය. (.........)
(5) ගීතා මිහිරි හඬින් ගීතයක් ගායනා කළහ. (.........)
",Sinhala grammar comprehension,
"ඒක වචන වර්තමාන කාල ක්‍රියාපදය තෝරා යටින් ඉරක් අඳින්න.
(1) බලයි
(2) බැලුවේ ය 
(3) බලති",Sinhala grammar comprehension,
"පහත එක් එක් ප්‍රශ්නයෙහි නිවැරදි අක්ෂර සහිත වචනය තෝරා යටින් ඉරක් අඳින්න.
(1) (1) ප්‍රර්දශන(2) ප්‍රධර්ශන (3) ප්‍රර්දශණ
(2) (1) ළධරුවා (2) ලදරුවා (3) ළදරුවා
(3) (1) ලේකිඛාව (2) ලේඛිකාව (3) ලේකිකාව",Sinhala grammar comprehension - NO,
"පහත සඳහන් වාක්‍යය අතීත කාල බහු වචනයට හරවා ලියන්න.
මම පාසල් වැඩවල නිරත වෙමි.",Sinhala grammar comprehension,
"පහත සඳහන් එක් එක් වචනයට ගැළපෙන සමාන පදයක් බැගින් ඉදිරියෙන් ඇති තිත් ඉරි මත ලියන්න.
(1) කැලය : 
(2) පොත:",Sinhala language comprehension,
"පහත සඳහන් වගන්තියේ වැරදී අක්ෂර සහිත වචන දෙකක් ඇත. එම වචන දෙක තෝරා නිවැරදි කර එම
වචන දෙක පමණක් තිත් ඉර මත ලියන්න.
නිසළ වූ නදිය නිල්මිණි තලාවක් සේ බබලයි.",Sinhala grammar comprehension - NO,
"
එක් එක් වගන්තිවල අදහසට ගැළපෙන ප්‍රස්ථාව පිරුළ වරහන් තුළින් තෝරා දී ඇති හිස්තැනෙහි ලියන්න.
(උගත මනා ශිල්පය මයි මතු රැකෙනා/ ඇඟිල්ලේ තරමට ඉදිමෙන්න/ පනින්න පෙර සිතා බලනු/
ඇවිලෙන ගින්නට පිදුරු නොදමන්න/ ඉඟුරු දී මිරිස් ගත්තා වගේ)
(1) ප්‍රමාණයට වඩා අහංකාර නොවන්න.
(2) ආරවුලක් තව තවත් ඇවිස්සීමට කටයුතු නොකරන්න.
",Sinhala language comprehension,
" සුදුසු විරාම ලකුණු යොදන්න.
පිරිසිදු පරිසරයක් යන තේමාව පැහැදිලි වන සේ පෝස්ටර් තරගයක් පවත්වන ලදී",Sinhala grammar comprehension,
"පහත දී ඇති වචන නිවැරදි ව ගළපා අථවත් වැකියක් බැගින් ලියන්න.
(1) has/ten/sister/rupees /My:
(2) buy/ bat/ a / want / We / to: 
",English language and grammar comprehension,
"12. එක් එක් ඉංග්‍රීසි වචනයෙහි අර්ථය සිංහලෙන් ලියන්න.
(1) Parents : 
(2) Fire : ",English language and grammar comprehension,
"‘කාල් (616)' යන දෙමළ වචනය සඳහා යෙදෙන සිංහල වචනය ලියන්න.
",Tamil language and grammar comprehension,
" පහත සඳහන් වාක්‍යය දෙමළෙන් කියන ආකාරය සිංහලෙන් ලියන්න.
එළියට යන්න ද? :",Tamil language and grammar comprehension,
"පහත සංඛ්‍යා රටාව හඳුනාගෙන හිස්තැන් දෙකට ගැළපෙන සංඛ්‍යා දෙක ලියන්න.
...., .....15,19.23,27",Mathematics,
 20650 සංඛ්‍යාව අකුරෙන් ලියන්න. ,Mathematics,
" බස් රථයක් මගීන් 55 දෙනතු සහිතව පළමුවැනි නැවතුමෙන් ගමන් ආරම්භ කරයි. දෙවැනි
නැවතුමේදී මගීන් 8 දෙනකු බසයෙන් බසින ලද අතර 12 දෙනෙක් බස් රථයට ගොඩ වූහ. දෙවැනි
නැවතුමෙන් ගමන් අරඹන විට බස් රථයේ සිටි මගීන් ගණන කීය ද?",Mathematics,
 අඹ ගෙඩි 16කින් හතරෙන් පංගු දෙකක් (2 ) යනු අඹ ගෙඩි කීය ද?,Mathematics,
එකිනෙකට සමාන මුහුණත් 6ක් සහ දාර 12ක් සහිත ජ්‍යාමිතික ඝන වස්තුව කුමක් ද?,Mathematics,
" මීටර 45ක් දිග තාප්පයක් බැඳීම සඳහා දින දෙකක් ගත විය. පළමුවැනි දිනයේ දී මීටර 27 සෙන්ටිමීටර
75ක දිගක් බැඳ අවසන් විය. දෙවන දිනයේ දී බඳින ලද දිග කොපමණ ද?
",Mathematics,
"දැන් වේලාව පෙරවරු 11.00 නම් තව පැය 2යි මිනිත්තු 30කට පසුව වේලාව කීය ද?
",Mathematics,
" සිසුන් 235 දෙනකුට අධ්‍යාපන චාරිකාවක් යාම සඳහා බස්රථ 5ක් යොදා ගන්නා ලදී. සෑම බස් රථයක ම
සමාන සිසුන් සංඛ්‍යාවක් ගමන් කළේ නම් එක් බස් රථයක ගමන් කළ සිසුන් ගණන කීය ද?",Mathematics,
" එක් දිනක දී වෙළඳසැලක තිබූ පරිප්පු 25 kg න් විකුණන ලද පරිප්පු ප්‍රමාණය 12 kg 750 g කි. එදින
ඉතුරු වූ පරිප්පු ප්‍රමාණය කොපමණ ද?",Mathematics,
"

ජලය  ලීටර 2ක් අල්ලන භාජනයක් සම්පූර්ණයෙන් පිරවීමට මිලි ලීටර 500 කෝප්පයකින් ජලය යුතු වාර දැමිය ගණන කීය ද?
 
",Mathematics,
"කොළ කැඳ සකස් කිරිමේ දී සුදුසු කොළ වර්ගයක් සහ පොල්වලට අමතරව අවශ්‍ය වන්නේ,
(1) මස් වර්ගයකි. 
(2) පලතුරු වර්ගයකි. 
(3) සහල් වර්ගයකි.",Common knowledge and logic reasoning,
" පස සාරවත් කර ගැනීම සඳහා අනුගමනය කළ යුතු ක්‍රියාව කුමක් ?
(1) ආහාර වර්ග තැම්බු උණු වතුර පසට ඇමීම
(2) දිරාපත්වන කුණු රොඩු පසට එකතු කිරිම
(3) කෘමිනාශක අඩංගු බෝතල් සේදු වතුර පසට දැමීම",Environment,
"
විටමින් C බහුලව අඩංගු ආහාරයක්වන්නේ.
(1) පේර ය. 
(2) රට කජු ය. 
(3) සෝයා බෝංචි ය.",Environment,
"කඳු බෑවුමක පිහිටි ගසක් සුළඟකට මුල් ඉදිරි වැටී තිබුණි. ඒ සඳහා වඩාත් හේතුවිය හැකි කරුණ කුමක් ද?
(1) ගස මල්වලින් බරවී තිබීම
(2) එම ස්ථානයේ පස සෝදායාමට ලක්වී තිබීම
(3) ගසෙහි කුරුල්ලන්ගේ කූඩු තිබීම",Environment,
" ‘තුවාය’ පෞද්ගලිකව පරිහරණය කළ යුතු දෙයක්වන්නේ,
(1) නිවසේ අන් අයද එසේ කරන නිසා ය.
(2) අලංකාරව තබා ගැනීම සඳහා ය.
(3) ලෙඩ රෝගවලින් ආරක්ෂා වීම සඳහා ය.",Common knowledge and logic reasoning,
"
'කාබෝහයිට්’ පෝෂ්‍ය පදාර්ථය ශරිරයට අවශ්‍ය ප්‍රමාණයට නොලැබුණු විට ඇතිවන තත්ත්වයකි,  
(1) කුසගිනි නොදැනීම. 
(2) ශරීරයේ බර අඬු වීම. 
(3) මුඛය ආශ්‍රිත රෝග ඇතිවීම.",Environment,
" අපිරිසිදු ජලය පානය කිරීමෙන් වැළඳිය හැකි රෝගය කුමක් ද?
(1) බරවා 
(2) දියවැඩියාව 
(3) උණසන්නිපාතය",Environment,
"
‘මොනරවිල කැප්පෙටිපොළ දිසාව’ යන චරිතය ශ්‍රී ලාංකිකයන්ට වැදගත්වන්නේ, 
(1) විදේශීය ආක්‍රමණිකයන්ගෙන් රට බේරා ගැනීමට කටයුතු කළ බැවිනි. 
(2) විශිෂ්ට ගණයේ ආගමික පොත්පත් රචනා කළ බැවිනි. 
(3) නිදහස් අධ්‍යාපනය වෙනුවෙන් කටයුතු කළ බැවිනි.",Common knowledge and logic reasoning,
"ගෙවත්තට පැමිණෙන පක්ෂියකු වන ඇටිකුකුළාට,
(1) කළු පැහැති පිහාටු සහ සුදු පැහැති ඇස් ඇත.
(2) කළු පැහැති හා නිල් පැහැති පිහාටු සහ රතු පැහැති ඇස් ඇත.
(3) කළු පැහැති හා දුඹුරු පැහැති පිහාටු සහ රතු පැහැති ඇස් ඇත.",Environment,
" සුමට ක්‍රියාකාරිත්වය සඳහා තෙල් යොදන උපකරණය කුමක් ද?
(1) අලවංගුව 
(2) විල්බැරෝව 
(3) මිටිය",Common knowledge and logic reasoning,
" ඖෂධ භාවිතයේ දී සිදු නොකළ යුත්තේතේ,
(1) ඉක්මන් සුවය සඳහා වැඩි මාත්‍රාවක් ගැනීමයි.
(2) ආහාරයට පෙර හා පසු ලෙස සැලකිලිමත් වීමයි.
(3) දිනකට නියමිත වාර ගණන අනුව ඖෂධ ගැනීමයි.",Common knowledge and logic reasoning,
" යම් පුද්ගලයකු දියේ ගිලෙන බව දුටු විට ක්ෂණිකව කළ යුතු සුදුසු ම දේ කුමක් ද?
(1) උදවු ඉල්ලා කෑ ගැසීම
(2) දිය මතු පිටට පැමිණෙන තෙක් බලා සිටීම
(3) බේරා ගැනීමට තමන් ද දියට පැනීම",Common knowledge and logic reasoning,
" සෙක්කුව යොදාගන්නේ,
(1) කුඹුරු වැඩට ය. 
(2) තෙල් සිඳ ගැනීමට ය. 
(3) රෙදි විවීමට ය.",Environment,
"යම් පරිසරයක ශාක භක්ෂක සතුන් පමණක් සිටින විට පහත සඳහන් කුමක් සිදුවිය හැකි ද?
(1) සතුන්ගේ සංඛ්‍යාව ඉතා ඉක්මනින් වැඩි වී ඉන් පසු අඩු වේ.
(2) ඉතා හොඳින් වැඩුණු ශාක පද්ධතියක් පරිසරයේ ඇති වේ.
(3) කුඩා සතුන්, විශාල සතුන්ගේ ආහාරය බවට පත් වේ.",Environment,
"විදුලි බලය අරපිරිමැස්මෙන් භාවිත කිරීම සඳහා අනුගමනය කළ යුතු ක්‍රියාව කුමක් ද?
(1) ආහාර උණුසුම්ව තිබිය දී ශීතකරණයෙහි දැමීම
(2) ව්දුදුලි ඉස්ත්‍රික්කය භාවිතයේ දී දින කිහිපයකට අවශ්‍ය ඇඳුම් එකවර මැද ගැනීම
(3) ජලය උණුකර ගැනීමම සඳහා සඳහ විදුලි කේතලය භාවිත කිරීම",Common knowledge and logic reasoning,
"මහා මාර්ගයේ පයින් ගමන් කරන විට දකුණෙන් ගමන් කිරීම නිසා ඇතිවන වාසිදායක තත්ත්වයක්
නොවන්නේ,
(1) ඉදිරියෙන් එන වාහන හොඳින් පෙනීමයි.
(2) පිටුපසින් එන වාහන තමාට ඈතින් ගමන් කිරීමයි.
(3) පාර හරහා යාමේදී දෙපස බැලීම අවශ්‍ය නොවීමයි.",Common knowledge and logic reasoning,
" වර්ණවත්, සුවඳවත් මෙන්න්මරසැති ගෙඩි සහිත ශාකයක පැතිරීම බහුලව ම සිදුවන්නේකුමන ආකාරයෙන්න්ද?
(1) සතුන් මගින් 
(2) ජලය මගින් 
(3) සුළඟ මයින්",Environment,
" මිනිසා බහුලව භාවිත කරන ඖෂධයක් නිෂ්පාදනය කරන සත්ත්වත්වයෙක් වಶ,
(1) මී මැස්සා ය. 
(2) ගැඩ විලා ය. 
(3) මැස්සා ය.",Environment,
